"Distance (km)","50%","2.5%","97.5%","Included time period","Aggregation of infection histories/metric"
0,0.746285678998067,0.706966771134486,0.775196189016333,"All times","Annual"
0.203260585777409,0.745770215673044,0.706969107511542,0.774512640272433,"All times","Annual"
0.406521171554818,0.745254759006279,0.706971447181925,0.773829094663102,"All times","Annual"
0.609781757332226,0.744739466875561,0.706973840670228,0.773145622528291,"All times","Annual"
0.813042343109635,0.744224365371774,0.706976202245033,0.772462221889445,"All times","Annual"
1.01630292888704,0.74371061433376,0.706978395365898,0.771833708470821,"All times","Annual"
1.21956351466445,0.743202547810929,0.706980282822527,0.771262143386596,"All times","Annual"
1.42282410044186,0.742679389129095,0.706981534378132,0.770690699161751,"All times","Annual"
1.62608468621927,0.742163073961418,0.706981360878673,0.770127908943149,"All times","Annual"
1.82934527199668,0.741644532511459,0.706856622203432,0.769563394169429,"All times","Annual"
2.03260585777409,0.74112312857583,0.706646325630361,0.768996752983848,"All times","Annual"
2.2358664435515,0.740598922602129,0.706433624878848,0.768428000149097,"All times","Annual"
2.43912702932891,0.740269116156906,0.70621874133343,0.76785719218042,"All times","Annual"
2.64238761510631,0.739678247372588,0.706001896378647,0.767284385593062,"All times","Annual"
2.84564820088372,0.739070709309704,0.705764144542167,0.766709636902267,"All times","Annual"
3.04890878666113,0.738652163232254,0.705520115217752,0.766133017884708,"All times","Annual"
3.25216937243854,0.738383737002796,0.705274391387965,0.765765856915527,"All times","Annual"
3.45542995821595,0.73792366259488,0.705026940630447,0.765434197711505,"All times","Annual"
3.65869054399336,0.737369583759207,0.70477777804526,0.765115888198543,"All times","Annual"
3.86195112977077,0.737035698731468,0.704527202581292,0.764627974131373,"All times","Annual"
4.06521171554818,0.736784792055898,0.70427561805436,0.764062515297962,"All times","Annual"
4.26847230132558,0.736663762630033,0.704023429185217,0.7634976095805,"All times","Annual"
4.47173288710299,0.736450074075648,0.70377105195678,0.762933533724097,"All times","Annual"
4.6749934728804,0.736149942615933,0.70348426253799,0.762370488292751,"All times","Annual"
4.87825405865781,0.735779090391467,0.7030831446975,0.761808742914722,"All times","Annual"
5.08151464443522,0.735281283250959,0.702679703880268,0.761248843153715,"All times","Annual"
5.28477523021263,0.734773379285985,0.702275027859296,0.760691818902242,"All times","Annual"
5.48803581599004,0.734325662660977,0.701870556728605,0.760139175999946,"All times","Annual"
5.69129640176745,0.733844015332097,0.701467829548157,0.759592453837827,"All times","Annual"
5.89455698754486,0.733387903424731,0.701068778317341,0.759053347661038,"All times","Annual"
6.09781757332226,0.73291263905779,0.700675554121962,0.758523542016478,"All times","Annual"
6.30107815909967,0.732465992542085,0.700289984088049,0.758004295337142,"All times","Annual"
6.50433874487708,0.732033689161273,0.699913688766183,0.757496588149643,"All times","Annual"
6.70759933065449,0.731617233572809,0.69954885692276,0.757001934095433,"All times","Annual"
6.9108599164319,0.731201487561899,0.699184594619082,0.756522051441715,"All times","Annual"
7.11412050220931,0.730794416509482,0.698761963617373,0.756058640542675,"All times","Annual"
7.31738108798672,0.730403413636084,0.69835631083711,0.75561324202808,"All times","Annual"
7.52064167376413,0.730120017666429,0.697967807255278,0.755187036329143,"All times","Annual"
7.72390225954153,0.72981526827572,0.697596416879927,0.754781019781876,"All times","Annual"
7.92716284531894,0.729512475620625,0.697327356198759,0.754396228253925,"All times","Annual"
8.13042343109635,0.729228046487721,0.697137635495801,0.754033791414775,"All times","Annual"
8.33368401687376,0.728961661081879,0.696964191409033,0.753694847831622,"All times","Annual"
8.53694460265117,0.728692440478446,0.696807465431842,0.753380599430064,"All times","Annual"
8.74020518842858,0.72846817515105,0.696667991440707,0.753092267182301,"All times","Annual"
8.94346577420599,0.728307584036483,0.696546170727691,0.752863760407069,"All times","Annual"
9.1467263599834,0.728137978370904,0.696442272863277,0.752741030892869,"All times","Annual"
9.3499869457608,0.72799106367607,0.696356700917319,0.752642785159849,"All times","Annual"
9.55324753153821,0.727867607958946,0.69629003520989,0.752570444750086,"All times","Annual"
9.75650811731562,0.727729606112818,0.696242495178654,0.752524990748541,"All times","Annual"
9.95976870309303,0.727588069104751,0.696214219580528,0.752507269455712,"All times","Annual"
10.1630292888704,0.727491728563064,0.69620542361257,0.752517998794917,"All times","Annual"
10.3662898746478,0.727504767174343,0.696216191969808,0.752557637490552,"All times","Annual"
10.5695504604253,0.727560944555564,0.696246338732585,0.75262620335566,"All times","Annual"
10.7728110462027,0.727635729101163,0.696295616805293,0.752694637498933,"All times","Annual"
10.9760716319801,0.727727023056353,0.696363974809825,0.752746022923997,"All times","Annual"
11.1793322177575,0.727833910732533,0.696451487276385,0.752785065499174,"All times","Annual"
11.3825928035349,0.727972621247532,0.696554042471778,0.752850288252505,"All times","Annual"
11.5858533893123,0.728141726563254,0.696661917379889,0.752939945079065,"All times","Annual"
11.7891139750897,0.728333933195475,0.69678937920046,0.753052183555147,"All times","Annual"
11.9923745608671,0.728548294901204,0.696936425794709,0.753185330754895,"All times","Annual"
12.1956351466445,0.72878376801061,0.697102952797256,0.75333783155637,"All times","Annual"
12.3988957324219,0.729038970589118,0.697288300914409,0.753508155700816,"All times","Annual"
12.6021563181993,0.729312041666754,0.697491735521465,0.753694628979454,"All times","Annual"
12.8054169039768,0.729600941564561,0.697712717998161,0.753895467593549,"All times","Annual"
13.0086774897542,0.729755763336922,0.697950759548229,0.754108819757689,"All times","Annual"
13.2119380755316,0.729905109792907,0.698205471765494,0.754332747288691,"All times","Annual"
13.415198661309,0.730077824851371,0.698476423028515,0.754587951614846,"All times","Annual"
