"","Statistic","Posterior median","Lower 95% CrI","Upper 95% CrI","Date"
"1","Mean of location-specific attack rates",0.72223982436311,0.676121633051963,0.76728027870848,1964
"2","Mean of location-specific attack rates",0.143655933077156,0.0537678907621878,0.260101006547854,1964.25
"3","Mean of location-specific attack rates",0.24550694814339,0.116807916667638,0.371308634331474,1964.5
"4","Mean of location-specific attack rates",0.141272621000268,0.0544772265137536,0.259646439471193,1964.75
"5","Mean of location-specific attack rates",0.204072293189751,0.111180250501542,0.302878906497454,1965
"6","Mean of location-specific attack rates",0.161788302439567,0.0810657358431952,0.251228170709507,1965.25
"7","Mean of location-specific attack rates",0.222358674373886,0.143883577031377,0.300233606447137,1965.5
"8","Mean of location-specific attack rates",0.178335206174633,0.113827871987198,0.241657889879716,1965.75
"9","Mean of location-specific attack rates",0.0520715829340412,0.0198369074567276,0.097561619337379,1966
"10","Mean of location-specific attack rates",0.038072655820885,0.0117437240910379,0.0808470004999959,1966.25
"11","Mean of location-specific attack rates",0.0671218402624549,0.0242258114225203,0.125875568054429,1966.5
"12","Mean of location-specific attack rates",0.0979586616459917,0.0409180877504402,0.167350598744049,1966.75
"13","Mean of location-specific attack rates",0.102690630351884,0.0439562351527656,0.177835816209907,1967
"14","Mean of location-specific attack rates",0.0866484987715717,0.0327727021296926,0.155598827510208,1967.25
"15","Mean of location-specific attack rates",0.0893080614770765,0.0314463656671259,0.172754004390115,1967.5
"16","Mean of location-specific attack rates",0.256902003189556,0.14665574298753,0.395291566293299,1967.75
"17","Mean of location-specific attack rates",0.171182334209503,0.0620965724760012,0.674815473067316,1968
"18","Mean of location-specific attack rates",0.551947133819245,0.0574080108247642,0.657735278774275,1968.25
"19","Mean of location-specific attack rates",0.0708408445499432,0.0348563280587999,0.114290573477824,1968.5
"20","Mean of location-specific attack rates",0.0692311891147126,0.0293502652784535,0.122173396258419,1968.75
"21","Mean of location-specific attack rates",0.17608032877339,0.0992918223842358,0.269079266884645,1969
"22","Mean of location-specific attack rates",0.24454707675221,0.154536215523037,0.325997444777627,1969.25
"23","Mean of location-specific attack rates",0.0605147683742536,0.0205902423936731,0.119172904893312,1969.5
"24","Mean of location-specific attack rates",0.0673889510053547,0.0209010838813831,0.159898374098746,1969.75
"25","Mean of location-specific attack rates",0.388722541139524,0.27504795782754,0.470427856636411,1970
"26","Mean of location-specific attack rates",0.223091968865391,0.131094148562709,0.326848151112184,1970.25
"27","Mean of location-specific attack rates",0.233820583622476,0.14203737942272,0.341030778887164,1970.5
