"","Statistic","Posterior median","Lower 95% CrI","Upper 95% CrI","Date"
"28","Mean of location-specific attack rates",0.118168841994145,0.0466788149048085,0.22139787121768,1970.75
"29","Mean of location-specific attack rates",0.323185918670127,0.193061320681714,0.464192031573339,1971
"30","Mean of location-specific attack rates",0.166007985696953,0.0650929983287968,0.316879879209769,1971.25
"31","Mean of location-specific attack rates",0.174761752054507,0.0788625729202392,0.293846466518095,1971.5
"32","Mean of location-specific attack rates",0.190213109994387,0.082208671210282,0.315122670521938,1971.75
"33","Mean of location-specific attack rates",0.229622863026507,0.131641571224971,0.328314807054711,1972
"34","Mean of location-specific attack rates",0.244222631770318,0.159566279099688,0.337389811285313,1972.25
"35","Mean of location-specific attack rates",0.230272910104503,0.151309796829478,0.306837652936664,1972.5
"36","Mean of location-specific attack rates",0.171770175217072,0.0767999020792325,0.366223006046025,1972.75
"37","Mean of location-specific attack rates",0.357194660103291,0.151043339030058,0.469472931894067,1973
"38","Mean of location-specific attack rates",0.0689701874291513,0.0193871169854348,0.154597242994237,1973.25
"39","Mean of location-specific attack rates",0.148274767076958,0.0537978658276593,0.259282349889899,1973.5
"40","Mean of location-specific attack rates",0.211062086495217,0.111708217204726,0.307756518947198,1973.75
"41","Mean of location-specific attack rates",0.106853992815623,0.0471153677992885,0.176750854733575,1974
"42","Mean of location-specific attack rates",0.355542510429905,0.30588040529919,0.400095719075614,1974.25
"43","Mean of location-specific attack rates",0.28598744903198,0.250564693725922,0.328415448692236,1974.5
"44","Mean of location-specific attack rates",0.408343944068024,0.373009210343501,0.44180421951462,1974.75
"45","Mean of location-specific attack rates",0.240562126948517,0.201033174138024,0.278224168959416,1975
"46","Mean of location-specific attack rates",0.2005813801651,0.155413277715321,0.245646034669336,1975.25
"47","Mean of location-specific attack rates",0.565035138815026,0.535934995964148,0.594446325323003,1975.5
"48","Mean of location-specific attack rates",0.19881985480765,0.154820303595904,0.247129265477807,1975.75
"49","Standard deviation of location-specific attack rates",0.136617517970616,0.112141793730028,0.159515685467205,1964
"50","Standard deviation of location-specific attack rates",0.0915056352926092,0.055722688329813,0.131159058333984,1964.25
"51","Standard deviation of location-specific attack rates",0.111037407410426,0.076685267019807,0.1462252307512,1964.5
"52","Standard deviation of location-specific attack rates",0.0862669987203953,0.0511478334027456,0.12713362028426,1964.75
"53","Standard deviation of location-specific attack rates",0.103188774357957,0.074722585375912,0.133718415801895,1965
"54","Standard deviation of location-specific attack rates",0.0901610518577029,0.0611847988313189,0.121120747308408,1965.25
"55","Standard deviation of location-specific attack rates",0.102676402774644,0.0783048300128051,0.12857373402559,1965.5
"56","Standard deviation of location-specific attack rates",0.0914341787658862,0.0690378887407358,0.117625278574422,1965.75
"57","Standard deviation of location-specific attack rates",0.0503747283260804,0.0303590054940111,0.075600634565483,1966
"58","Standard deviation of location-specific attack rates",0.0443425020543888,0.0222951543348907,0.0704582674600533,1966.25
"59","Standard deviation of location-specific attack rates",0.0586170203073863,0.0326946156029246,0.0863230608397014,1966.5
"60","Standard deviation of location-specific attack rates",0.0714394364217381,0.0435381613763248,0.0987325235742794,1966.75
"61","Standard deviation of location-specific attack rates",0.0703454053135218,0.0433411720991713,0.100329997096504,1967
"62","Standard deviation of location-specific attack rates",0.0645285593421809,0.0380452099601579,0.096181065013864,1967.25
"63","Standard deviation of location-specific attack rates",0.0650918051379455,0.0364544931310483,0.0972474364909025,1967.5
"64","Standard deviation of location-specific attack rates",0.103784486935586,0.0734369744880255,0.133715866988303,1967.75
"65","Standard deviation of location-specific attack rates",0.0841355365403822,0.0499379957566264,0.12376787815949,1968
"66","Standard deviation of location-specific attack rates",0.105719911786308,0.049224418626953,0.133704552644602,1968.25
"67","Standard deviation of location-specific attack rates",0.0565069451837038,0.0378355988684439,0.0865380161959566,1968.5
"68","Standard deviation of location-specific attack rates",0.0563853205564819,0.0353873940809781,0.0885895980783951,1968.75
"69","Standard deviation of location-specific attack rates",0.0899222662672224,0.0617724672550536,0.123619273240525,1969
"70","Standard deviation of location-specific attack rates",0.102134874158552,0.0743428762446172,0.133883333088594,1969.25
"71","Standard deviation of location-specific attack rates",0.0505207457215941,0.0285092774996581,0.0779355861425131,1969.5
"72","Standard deviation of location-specific attack rates",0.0538724502007363,0.0272095897372652,0.0918994638438896,1969.75
"73","Standard deviation of location-specific attack rates",0.123752696344812,0.0966284968996404,0.153479517259858,1970
"74","Standard deviation of location-specific attack rates",0.0896128363829962,0.0656057006988652,0.116679021094508,1970.25
"75","Standard deviation of location-specific attack rates",0.0929191511537827,0.0668916198174752,0.119242348163491,1970.5
"76","Standard deviation of location-specific attack rates",0.0679398466950527,0.0435760113016476,0.100395509604615,1970.75
"77","Standard deviation of location-specific attack rates",0.10575509663832,0.0762401255023641,0.136679191412636,1971
"78","Standard deviation of location-specific attack rates",0.078442426945916,0.0478907394057955,0.114623384809837,1971.25
"79","Standard deviation of location-specific attack rates",0.0810439482530091,0.0546794592374578,0.112077305021678,1971.5
"80","Standard deviation of location-specific attack rates",0.085235652609379,0.0530726545055281,0.115128299185866,1971.75
"81","Standard deviation of location-specific attack rates",0.0981111574895377,0.0710636830174101,0.127227143848786,1972
"82","Standard deviation of location-specific attack rates",0.111326345097993,0.0822233838472347,0.141401197880727,1972.25
"83","Standard deviation of location-specific attack rates",0.112615661974809,0.0820225905209798,0.144309592934715,1972.5
"84","Standard deviation of location-specific attack rates",0.0837926002463187,0.0534795076218842,0.11762164929625,1972.75
"85","Standard deviation of location-specific attack rates",0.105046903848499,0.0722310976431468,0.13237697479023,1973
"86","Standard deviation of location-specific attack rates",0.051220198845285,0.0255539553378024,0.0806224325846245,1973.25
"87","Standard deviation of location-specific attack rates",0.0749069111434991,0.0430019424429611,0.104364747577761,1973.5
"88","Standard deviation of location-specific attack rates",0.0872522928129568,0.0611747559242082,0.115573901883521,1973.75
"89","Standard deviation of location-specific attack rates",0.0646576723229565,0.0408654843017131,0.0915073532114057,1974
"90","Standard deviation of location-specific attack rates",0.127767499740843,0.105784131522382,0.149210656109235,1974.25
"91","Standard deviation of location-specific attack rates",0.105079997214502,0.0844989765012815,0.126241813497118,1974.5
"92","Standard deviation of location-specific attack rates",0.111463239815664,0.0896084344650997,0.135894995084193,1974.75
"93","Standard deviation of location-specific attack rates",0.0891693995532256,0.0689447193023179,0.110534433977451,1975
"94","Standard deviation of location-specific attack rates",0.0921330468914824,0.0731957660803292,0.113161375524751,1975.25
"95","Standard deviation of location-specific attack rates",0.154239987179825,0.135071119409098,0.172426769178228,1975.5
"96","Standard deviation of location-specific attack rates",0.0996587987074849,0.0714051483759113,0.128512587544409,1975.75
"97","Coefficient of variation",0.189290707904339,0.15293088711217,0.228181617694278,1964
"98","Coefficient of variation",0.647020149020149,0.427136545376178,1.14584376901791,1964.25
"99","Coefficient of variation",0.460203044324028,0.319949787728735,0.744304971649663,1964.5
"100","Coefficient of variation",0.62515956022298,0.402682277639896,1.04852730889805,1964.75
"101","Coefficient of variation",0.513478939231834,0.367924715070032,0.747196044033599,1965
"102","Coefficient of variation",0.567672152100737,0.401444305747721,0.838872318404783,1965.25
"103","Coefficient of variation",0.463391085148676,0.345123097881203,0.633486114168077,1965.5
"104","Coefficient of variation",0.519521755102151,0.390323471570937,0.719816482375289,1965.75
"105","Coefficient of variation",0.980483739294286,0.655992024301184,1.62727380767089,1966
"106","Coefficient of variation",1.16381357835856,0.767666250015128,2.05079005835192,1966.25
"107","Coefficient of variation",0.875285784748399,0.589242990807786,1.49395839944017,1966.5
"108","Coefficient of variation",0.732481546752095,0.515802770040722,1.14987855324457,1966.75
"109","Coefficient of variation",0.701154783988228,0.502052944928739,1.08004420240875,1967
"110","Coefficient of variation",0.750852822147726,0.504867590641295,1.24152955760044,1967.25
"111","Coefficient of variation",0.73904448104298,0.496167771389706,1.29140218133869,1967.5
"112","Coefficient of variation",0.404538985488544,0.28272317025081,0.599940520442762,1967.75
"113","Coefficient of variation",0.488697563047965,0.146237028301029,0.84471541984663,1968
"114","Coefficient of variation",0.200869514264676,0.142105289385134,0.895039180952305,1968.25
"115","Coefficient of variation",0.819327328422365,0.573230642602797,1.2523200228335,1968.5
"116","Coefficient of variation",0.828600435770963,0.572377241548328,1.30950306733269,1968.75
"117","Coefficient of variation",0.514158272944313,0.373096121536043,0.728368066070774,1969
"118","Coefficient of variation",0.428506113450849,0.319801044661946,0.583831638491563,1969.25
"119","Coefficient of variation",0.853140158823,0.546587680846513,1.47801781306556,1969.5
"120","Coefficient of variation",0.820701210453914,0.495653699730707,1.4558723324958,1969.75
"121","Coefficient of variation",0.319932375252841,0.249448817088022,0.421976809685761,1970
"122","Coefficient of variation",0.401832194822153,0.283626908857712,0.581053357640476,1970.25
"123","Coefficient of variation",0.396701813908658,0.289078207303303,0.551253601635777,1970.5
"124","Coefficient of variation",0.580218627617578,0.391463307676592,0.978181320504635,1970.75
"125","Coefficient of variation",0.331581611785467,0.229909700518096,0.485237954955765,1971
"126","Coefficient of variation",0.480813010377785,0.308242607047685,0.831363196628614,1971.25
"127","Coefficient of variation",0.467189402890909,0.307367071595075,0.742851096702334,1971.5
"128","Coefficient of variation",0.448694405041496,0.308978155082591,0.727302573806128,1971.75
"129","Coefficient of variation",0.436848642410758,0.328545460327885,0.597015253525985,1972
"130","Coefficient of variation",0.457454045299538,0.357550874879701,0.606276467700233,1972.25
"131","Coefficient of variation",0.489422722868132,0.388107776224679,0.648753261077096,1972.5
"132","Coefficient of variation",0.485329764402027,0.284568164360007,0.788570864028997,1972.75
"133","Coefficient of variation",0.303519615877014,0.2164282631162,0.49980882768361,1973
"134","Coefficient of variation",0.757564560950514,0.46295209136453,1.40276352019889,1973.25
"135","Coefficient of variation",0.508687721492407,0.333439748791966,0.853895836322975,1973.5
"136","Coefficient of variation",0.421895880808036,0.29077063282749,0.622607139154536,1973.75
"137","Coefficient of variation",0.605499534505437,0.428005701755462,0.98411287840526,1974
"138","Coefficient of variation",0.359862397257896,0.299477260700159,0.424793422668552,1974.25
"139","Coefficient of variation",0.367659428821677,0.297101379512694,0.439090155947007,1974.5
"140","Coefficient of variation",0.274492816920934,0.219393427396923,0.339339357213148,1974.75
"141","Coefficient of variation",0.370895751102429,0.287071759973524,0.463089653476372,1975
"142","Coefficient of variation",0.460049944924959,0.369381203342363,0.576791267452083,1975.25
"143","Coefficient of variation",0.272973345994247,0.234326311050079,0.309394158848794,1975.5
"144","Coefficient of variation",0.504923491834149,0.364059223256528,0.678164563750977,1975.75
