"","LOC_Long","LOC_Lat","log10(Population)"
"1",113.220833333334,23.5625,1.39794000867204
"2",113.229166666667,23.5625,1.77815125038364
"3",113.2375,23.5625,1.69019608002851
"4",113.245833333334,23.5625,0.698970004336019
"5",113.254166666667,23.5625,1.79934054945358
"6",113.2625,23.5625,2.14612803567824
"7",113.270833333334,23.5625,1.98677173426624
"8",113.279166666667,23.5625,2.39967372148104
"9",113.2875,23.5625,1.73239375982297
"10",113.295833333334,23.5625,1.67209785793572
"11",113.304166666667,23.5625,2.60097289568675
"12",113.3125,23.5625,2.13672056715641
"13",113.320833333334,23.5625,0.698970004336019
"14",113.329166666667,23.5625,1.25527250510331
"15",113.3375,23.5625,1.7481880270062
"16",113.345833333334,23.5625,1.39794000867204
"17",113.354166666667,23.5625,0.778151250383644
"18",113.3625,23.5625,1.85733249643127
"19",113.370833333334,23.5625,1.7160033436348
"20",113.379166666667,23.5625,1.07918124604762
"21",113.3875,23.5625,0.602059991327962
"22",113.395833333334,23.5625,0.301029995663981
"23",113.404166666667,23.5625,0.301029995663981
"24",113.4125,23.5625,1.20411998265592
"25",113.420833333334,23.5625,1.55630250076729
"26",113.429166666667,23.5625,1.73239375982297
"27",113.4375,23.5625,1.36172783601759
"28",113.445833333334,23.5625,1.20411998265592
"29",113.454166666667,23.5625,1.47712125471966
"30",113.4625,23.5625,3.01703333929878
"31",113.470833333334,23.5625,1.30102999566398
"32",113.479166666667,23.5625,1.30102999566398
"33",113.4875,23.5625,0.903089986991944
"34",113.495833333334,23.5625,1.46239799789896
"35",113.504166666667,23.5625,1.7160033436348
"36",113.5125,23.5625,3.18383903705642
"37",113.520833333334,23.5625,1.93449845124357
"38",113.529166666667,23.5625,2.02938377768521
"39",113.5375,23.5625,4.06748002393148
"40",113.545833333334,23.5625,2.51321760006794
"41",113.554166666667,23.5625,2.84260923961056
"42",113.5625,23.5625,3.02775720469055
"43",113.570833333334,23.5625,2.8561244442423
"44",113.579166666667,23.5625,3.45086469237977
"45",113.5875,23.5625,2.54777470538782
"46",113.595833333334,23.5625,3.71692107316676
"47",113.604166666667,23.5625,2.67577834167409
"48",113.6125,23.5625,2.99651167215418
"49",113.620833333334,23.5625,2.5854607295085
"50",113.629166666667,23.5625,2.04532297878666
"51",113.6375,23.5625,2.32428245529769
"52",113.645833333334,23.5625,1.85733249643127
"53",113.654166666667,23.5625,1.7160033436348
"54",113.6625,23.5625,1.46239799789896
"55",113.670833333334,23.5625,2.57749179983723
"56",113.679166666667,23.5625,1.60205999132796
"57",113.6875,23.5625,1.20411998265592
"58",113.695833333334,23.5625,1
"59",113.704166666667,23.5625,1
"60",113.7125,23.5625,1.85733249643127
"61",113.720833333334,23.5625,1
"62",113.729166666667,23.5625,0.301029995663981
"63",113.7375,23.5625,0.477121254719662
"64",113.745833333334,23.5625,1.38021124171161
"65",113.754166666667,23.5625,1.64345267648619
"66",113.7625,23.5625,2.28780172993023
"67",113.770833333334,23.5625,2.27415784926368
"68",113.779166666667,23.5625,1.83884909073726
"69",113.7875,23.5625,1.74036268949424
"70",113.795833333334,23.5625,1.80617997398389
"71",113.804166666667,23.5625,1.72427586960079
"72",113.8125,23.5625,0
"73",113.820833333334,23.5625,0.602059991327962
"74",113.829166666667,23.5625,0.301029995663981
"75",113.8375,23.5625,0.602059991327962
"76",113.220833333334,23.5541666666667,1.43136376415899
"77",113.229166666667,23.5541666666667,1.63346845557959
"78",113.2375,23.5541666666667,1.43136376415899
"79",113.245833333334,23.5541666666667,1.11394335230684
"80",113.254166666667,23.5541666666667,1.77815125038364
"81",113.2625,23.5541666666667,1.64345267648619
"82",113.270833333334,23.5541666666667,1.84509804001426
"83",113.279166666667,23.5541666666667,1.54406804435028
"84",113.2875,23.5541666666667,3.65686449154892
"85",113.295833333334,23.5541666666667,2.51054501020661
"86",113.304166666667,23.5541666666667,2.34830486304816
"87",113.3125,23.5541666666667,1.20411998265592
"88",113.320833333334,23.5541666666667,1.20411998265592
"89",113.329166666667,23.5541666666667,2.55388302664387
"90",113.3375,23.5541666666667,1.20411998265592
"91",113.345833333334,23.5541666666667,0.301029995663981
"92",113.354166666667,23.5541666666667,1.34242268082221
"93",113.3625,23.5541666666667,1.30102999566398
"94",113.370833333334,23.5541666666667,2.92634244662566
"95",113.379166666667,23.5541666666667,1.85733249643127
"96",113.3875,23.5541666666667,0.778151250383644
"97",113.395833333334,23.5541666666667,1.55630250076729
"98",113.404166666667,23.5541666666667,1.20411998265592
"99",113.4125,23.5541666666667,0.954242509439325
"100",113.420833333334,23.5541666666667,1.20411998265592
"101",113.429166666667,23.5541666666667,1.79934054945358
"102",113.4375,23.5541666666667,1.20411998265592
"103",113.445833333334,23.5541666666667,1.54406804435028
"104",113.454166666667,23.5541666666667,1.7160033436348
"105",113.4625,23.5541666666667,1.85733249643127
"106",113.470833333334,23.5541666666667,1.77085201164214
"107",113.479166666667,23.5541666666667,1.51851393987789
"108",113.4875,23.5541666666667,2.67851837904011
"109",113.495833333334,23.5541666666667,1.66275783168157
"110",113.504166666667,23.5541666666667,1.41497334797082
"111",113.5125,23.5541666666667,1.54406804435028
"112",113.520833333334,23.5541666666667,1.60205999132796
"113",113.529166666667,23.5541666666667,1.41497334797082
"114",113.5375,23.5541666666667,2.16136800223497
"115",113.545833333334,23.5541666666667,1.81954393554187
"116",113.554166666667,23.5541666666667,1.77085201164214
"117",113.5625,23.5541666666667,2.50650503240487
"118",113.570833333334,23.5541666666667,3.62818450807341
"119",113.579166666667,23.5541666666667,3.92798594709943
