Parameter,Estimate
ε,1 (0.995-1.01)
µl,1.74 (1.71-1.78)
µs,2.73 (2.55-2.92)
σl,0.101 (0.1-0.102)
σs,0.0311 (0.0296-0.0327)
τ,0.0515 (0.0491-0.0541)
ω,0.586 (0.518-0.655)
