Parameter,Estimate
ε,0.636 (0.632-0.642)
µl,1.42 (1.39-1.44)
µs,2.07 (2-2.18)
σl,0.0743 (0.0736-0.0749)
σs,0.000171 (5.38e-06-0.000695)
τ,0.0312 (0.0297-0.0332)
ω,2.08 (1.97-2.22)
