Parameter,Estimate
ε,0.874 (0.868-0.881)
µl,1.54 (1.5-1.58)
µs,1.95 (1.82-2.07)
σl,0.0896 (0.0889-0.0898)
σs,5.17e-05 (5.7e-06-0.000278)
τ,0.0329 (0.0307-0.0357)
ω,0.872 (0.776-1.02)
