"Year","Fluscape posterior median attack rate","Fluscape lower 95% CrI","Fluscape upper 95% CrI","Ha Nam lower 95% CrI","Ha Nam posterior median attack rate","Ha Nam upper 95% CrI"
1968,0.714078374455733,0.666146589259797,0.7605587808418,0.307692307692308,0.807692307692308,1
1969,0.140056022408964,0.0545868347338936,0.254901960784314,0.0357142857142857,0.464285714285714,0.964285714285714
1970,0.241192411924119,0.113787262872629,0.365887533875339,0,0.3,0.7
1971,0.139686684073107,0.0547976501305483,0.257180156657963,0,0.233333333333333,0.666666666666667
1972,0.20125786163522,0.10940251572327,0.29688679245283,0,0.290322580645161,0.645967741935483
1973,0.159173754556501,0.0813791008505468,0.247904009720535,0,0.193548387096774,0.612903225806452
1974,0.220640569395018,0.145848161328588,0.294217081850534,0,0.125,0.46875
1975,0.177867902665122,0.114687137891078,0.24220741599073,0,0.125,0.4375
1976,0.0517241379310345,0.0206896551724138,0.0988505747126437,0,0.15625,0.40625
1977,0.0386363636363636,0.0124715909090909,0.0795454545454545,0,0.0606060606060606,0.333333333333333
1978,0.0662921348314607,0.0235955056179775,0.124719101123596,0,0.0303030303030303,0.242424242424242
1979,0.0987791342952275,0.0410654827968923,0.168701442841287,0,0.0294117647058824,0.176470588235294
1980,0.103938730853392,0.0448577680525164,0.178336980306346,0,0.0277777777777778,0.166666666666667
1981,0.0870032223415682,0.033297529538131,0.156820622986037,0,0.0277777777777778,0.16736111111111
1982,0.0900423728813559,0.0317796610169492,0.172669491525424,0,0.0277777777777778,0.194444444444444
1983,0.25836820083682,0.148483263598326,0.393305439330544,0,0.162162162162162,0.460135135135135
1984,0.170984455958549,0.0611139896373057,0.675673575129534,0.0512820512820513,0.333333333333333,0.666666666666667
1985,0.551229508196721,0.0573514344262295,0.65983606557377,0,0.219512195121951,0.585365853658537
1986,0.0684793554884189,0.0332326283987915,0.11178247734139,0,0.19047619047619,0.548214285714285
1987,0.068,0.029975,0.118,0,0.255813953488372,0.628488372093023
1988,0.176007866273353,0.100270403146509,0.268485742379548,0,0.186046511627907,0.512209302325581
1989,0.243008678881389,0.156195756991321,0.324011571841851,0.0454545454545455,0.318181818181818,0.590909090909091
1990,0.0604026845637584,0.0210930009587728,0.119870565675935,0,0.191489361702128,0.48936170212766
1991,0.0674264007597341,0.0218186134852802,0.157763532763533,0,0.1875,0.395833333333333
1992,0.390728476821192,0.27906811731315,0.472161778618732,0,0.163265306122449,0.346938775510204
1993,0.225912067352666,0.134705332086062,0.33210944808232,0.12,0.32,0.48
1994,0.234883720930233,0.144186046511628,0.342348837209302,0.14,0.34,0.5
1995,0.120259019426457,0.0481036077705828,0.222941720629047,0.288461538461538,0.442307692307692,0.596153846153846
1996,0.327506899724011,0.196826126954922,0.470101195952162,0,0.0188679245283019,0.132075471698113
1997,0.168949771689498,0.0648401826484018,0.326963470319635,0,0.0350877192982456,0.157894736842105
1998,0.178506375227687,0.0836976320582878,0.3033014571949,0,0.0172413793103448,0.155172413793103
1999,0.197463768115942,0.086911231884058,0.323392210144927,0.101694915254237,0.322033898305085,0.593220338983051
2000,0.237364620938628,0.13716155234657,0.339350180505415,0.365079365079365,0.587301587301587,0.746031746031746
2001,0.254496402877698,0.16726618705036,0.35074190647482,0.412698412698413,0.555555555555556,0.714285714285714
2002,0.240143369175627,0.155891577060932,0.319018817204301,0.815384615384615,0.892307692307692,0.953846153846154
2003,0.175892857142857,0.0794642857142857,0.371540178571428,0.484848484848485,0.575757575757576,0.666666666666667
2004,0.359305431878896,0.154942119323241,0.4746660730187,0.0584558823529412,0.176470588235294,0.308823529411765
2005,0.0693950177935943,0.0195729537366548,0.155693950177936,0.0289855072463768,0.130434782608696,0.27536231884058
2006,0.145519077196096,0.0532386867790594,0.257386867790594,0.130434782608696,0.188405797101449,0.260869565217391
2007,0.208333333333333,0.110815602836879,0.304078014184397,0.0869565217391304,0.130434782608696,0.159420289855072
2008,0.106194690265487,0.0460176991150442,0.175265486725664,0.115942028985507,0.144927536231884,0.188405797101449
2009,0.349557522123894,0.30353982300885,0.393805309734513,0.36195652173913,0.391304347826087,0.420289855072464
2010,0.284070796460177,0.247765486725664,0.323030973451327,0.0454545454545455,0.0757575757575758,0.106060606060606
2011,0.411504424778761,0.376106194690265,0.443384955752212,0.196969696969697,0.242424242424242,0.288257575757575
2012,0.242477876106195,0.203517699115044,0.280530973451327,0.0483870967741935,0.0645161290322581,0.0967741935483871
2013,0.207964601769911,0.161946902654867,0.254867256637168,NA,NA,NA
2014,0.607964601769912,0.57608407079646,0.638938053097345,NA,NA,NA
2015,0.224778761061947,0.177853982300885,0.272566371681416,NA,NA,NA
