"LOC_ID","Date","n","Lower 95% CrI","Posterior median","Upper 95% CrI","Precision","Coefficient of variation"
"1",1968,20,0.5,0.75,0.901249999999999,89.8576040310897,0.142154349135043
"1",1968.25,20,0,0.05,0.25,167.050151833371,1.34792171624371
"1",1968.5,20,0,0.05,0.35,97.028820181995,1.19857775833314
"1",1968.75,21,0,0.0476190476190476,0.285714285714286,157.723345549737,1.16850794790929
"1",1969,21,0,0,0.19047619047619,339.582196405615,1.49551876564332
"1",1969.25,21,0,0.0476190476190476,0.238095238095238,268.147111185501,1.34285574612953
"1",1969.5,21,0,0.0476190476190476,0.238095238095238,228.719358695548,1.20640327857655
"1",1969.75,21,0,0.0476190476190476,0.19047619047619,234.867596130882,1.17318067506155
"1",1970,21,0,0.0476190476190476,0.19047619047619,315.843695155942,1.25173153746979
"1",1970.25,21,0,0,0.19047619047619,371.416479578201,1.39878592101799
"1",1970.5,21,0,0,0.19047619047619,331.642346975646,1.39268843115817
"1",1970.75,21,0,0.0952380952380952,0.333333333333333,109.887037286001,0.755677227464547
"1",1971,21,0,0,0.19047619047619,338.95437538805,1.37592303674226
"1",1971.25,21,0,0.0476190476190476,0.19047619047619,360.571304168481,1.28895105562158
"1",1971.5,21,0,0,0.142857142857143,611.958895204436,1.46869065098536
"1",1971.75,21,0,0,0.142857142857143,575.088993056787,1.51766512295055
"1",1972,21,0,0.0476190476190476,0.238095238095238,214.864904408896,0.93028459992521
"1",1972.25,21,0,0,0.142857142857143,529.032234822835,1.50662650363137
"1",1972.5,21,0,0,0.142857142857143,435.135471483432,1.331635165565
"1",1972.75,21,0,0,0.142857142857143,503.6940237076,1.36002677196733
"1",1973,21,0,0,0.142857142857143,600.661798390084,1.40008004761434
"1",1973.25,21,0,0,0.142857142857143,688.503607713331,1.56619302119912
"1",1973.5,21,0,0,0.142857142857143,610.667014120384,1.46265173779953
"1",1973.75,21,0,0.0476190476190476,0.19047619047619,318.236749435667,0.960966042038613
"1",1974,22,0,0.0454545454545455,0.182954545454544,306.195067984454,0.887265786219775
"1",1974.25,22,0,0.0454545454545455,0.181818181818182,291.384406779664,0.972688203710083
"1",1974.5,23,0,0.0434782608695652,0.217391304347826,271.322581489803,0.884306334052167
"1",1974.75,24,0,0.0833333333333333,0.208333333333333,261.392993015726,0.791704291117251
"1",1975,24,0,0.0416666666666667,0.166666666666667,345.314830095267,0.939292659639432
"1",1975.25,24,0,0.0416666666666667,0.208333333333333,290.383528461848,0.838331859095735
"1",1975.5,24,0,0.0416666666666667,0.166666666666667,402.930895401991,0.884339992682701
"1",1975.75,24,0,0.0416666666666667,0.166666666666667,495.21885023482,1.00698543070031
"1",1976,24,0,0,0.125,856.000380825442,1.42413703117625
"1",1976.25,24,0,0,0.0833333333333333,1050.11278113162,1.46366858866519
"1",1976.5,24,0,0,0.0833333333333333,1741.22388953948,2.10679018369777
"1",1976.75,24,0,0,0.0833333333333333,2147.49711701017,2.13127098919545
"1",1977,24,0,0,0.0416666666666667,2813.54788552651,2.36892176929735
"1",1977.25,24,0,0,0.0416666666666667,2809.74237778079,2.2867190016475
"1",1977.5,24,0,0,0.0833333333333333,1742.10424336369,2.1780620374323
"1",1977.75,24,0,0,0.0833333333333333,1185.79577302253,1.95774577229673
"1",1978,24,0,0,0.0833333333333333,1522.38640121701,2.01673555235451
"1",1978.25,24,0,0,0.084374999999999,985.342064166128,1.54147346667433
"1",1978.5,24,0,0,0.125,808.288758034792,1.4967486271319
"1",1978.75,24,0,0,0.125,819.692307692314,1.67654728856981
"1",1979,24,0,0,0.125,851.582999240807,1.59076932285968
"1",1979.25,24,0,0,0.125,520.765023860616,1.28099425073935
"1",1979.5,24,0,0,0.125,770.570109715278,1.55220817764517
"1",1979.75,24,0,0,0.125,703.108504398823,1.37137469253856
"1",1980,24,0,0,0.125,877.83981693363,1.47279029736768
"1",1980.25,24,0,0,0.125,983.565198217553,1.63168688271019
"1",1980.5,24,0,0,0.125,922.806021563326,1.64937921885203
"1",1980.75,25,0,0.04,0.2,388.443891437903,0.994868489774949
"1",1981,26,0,0.0384615384615385,0.153846153846154,481.231704153857,1.15517789932718
"1",1981.25,26,0,0,0.115384615384615,916.077380217608,1.55339583660576
"1",1981.5,26,0,0,0.115384615384615,1045.58903447858,1.57351880627021
"1",1981.75,27,0,0,0.0740740740740741,1349.53969654069,1.69348440924984
"1",1982,28,0,0,0.0714285714285714,2158.95803183795,2.27399788980144
"1",1982.25,28,0,0,0.0714285714285714,1707.24934006745,2.05974594545079
"1",1982.5,28,0,0,0.107142857142857,754.023236380304,1.41230491010227
"1",1982.75,28,0,0.0357142857142857,0.178571428571429,437.012750780602,1.10329662658265
"1",1983,28,0,0.0357142857142857,0.179464285714285,308.477239831035,1.02521765119129
"1",1983.25,28,0,0.0357142857142857,0.214285714285714,258.641545397896,0.965635361795267
"1",1983.5,28,0,0.0714285714285714,0.25,176.916444603266,0.831728885738437
"1",1983.75,28,0,0.0714285714285714,0.321428571428571,137.13207569634,0.853641258976992
"1",1984,28,0,0.0357142857142857,0.25,184.766249048113,1.10628502468051
"1",1984.25,28,0,0.0357142857142857,0.214285714285714,265.616611687092,1.29858556500572
"1",1984.5,28,0,0.0357142857142857,0.25,209.602611522397,1.35530085882587
"1",1984.75,29,0,0.0689655172413793,0.724137931034483,19.1926161886127,1.43219108997533
