"Date","Lower 95% CrI","Lower 50% CrI","Posterior median","upper2","Upper 95% CrI","N alive"
1968,0.81570996978852,0.916918429003021,0.945619335347432,0.966767371601209,0.989425981873112,662
1968.25,0,0.0014903129657228,0.0029806259314456,0.00596125186289121,0.0163934426229508,671
1968.5,0,0.0117647058823529,0.0279411764705882,0.0573529411764706,0.151507352941176,680
1968.75,0.00145137880986938,0.0145137880986938,0.0377358490566038,0.081277213352685,0.211901306240929,689
1969,0,0.0101156069364162,0.0260115606936416,0.0520231213872832,0.160404624277457,692
1969.25,0.00425,0.0385714285714286,0.0942857142857143,0.198571428571429,0.918571428571429,700
1969.5,0.00564971751412429,0.0918079096045198,0.22316384180791,0.730225988700565,0.853142655367232,708
1969.75,0.0182072829131653,0.0612745098039216,0.542016806722689,0.69047619047619,0.813760504201681,714
1970,0,0.00974930362116992,0.0194986072423398,0.0417827298050139,0.125348189415042,718
1970.25,0.00138504155124654,0.0121191135734072,0.0249307479224377,0.0429362880886427,0.0859072022160664,722
1970.5,0.00411522633744856,0.0274348422496571,0.0425240054869684,0.0617283950617284,0.0987654320987654,729
1970.75,0.0324864498644986,0.0542005420054201,0.0691056910569106,0.0853658536585366,0.119275067750677,738
1971,0.00405405405405405,0.0202702702702703,0.0310810810810811,0.0432432432432432,0.0730405405405405,740
1971.25,0.0133333333333333,0.032,0.044,0.0573333333333333,0.0866666666666667,750
1971.5,0.00395778364116095,0.0220976253298153,0.0329815303430079,0.0461741424802111,0.0686015831134565,758
1971.75,0.00783289817232376,0.0234986945169713,0.0352480417754569,0.0456919060052219,0.0691906005221932,766
1972,0.0193548387096774,0.0335483870967742,0.0451612903225806,0.0541935483870968,0.0761290322580645,775
1972.25,0.0025706940874036,0.0115681233933162,0.0186375321336761,0.0269922879177378,0.044987146529563,778
1972.5,0.00381679389312977,0.0149491094147583,0.0216284987277354,0.0305343511450382,0.0483460559796438,786
1972.75,0.00122641509433962,0.00880503144654088,0.0150943396226415,0.0226415094339623,0.040251572327044,795
