"Age group","Virus","Proportion seropositive (>= 1:40)","alive"
"(50,60]","A/Fujian/2002",0.890909090909091,"TRUE"
"(50,60]","A/HongKong/1968",0.887272727272727,"TRUE"
"(50,60]","A/HongKong/2014",0.4,"TRUE"
"(50,60]","A/Mississippi/1985",0.72,"TRUE"
"(50,60]","A/Perth/2009",0.443636363636364,"TRUE"
"(50,60]","A/Philippines/1982",0.156363636363636,"TRUE"
"(50,60]","A/Sichuan/1987",0.127737226277372,"TRUE"
"(50,60]","A/Texas/1977",0.309090909090909,"TRUE"
"(50,60]","A/Texas/2012",0.632727272727273,"TRUE"
"(50,60]","A/Victoria/1975",0.338181818181818,"TRUE"
"(50,60]","A/Victoria/1998",0.52,"TRUE"
"(50,60]","A/Victoria/2009",0.745454545454545,"TRUE"
"(50,60]","A/Wuhan/1995",0.232727272727273,"TRUE"
"(60,100]","A/Bangkok/1979",0.0805369127516778,"TRUE"
"(60,100]","A/Beijing/1989",0.123745819397993,"TRUE"
"(60,100]","A/Beijing/1992",0.638795986622074,"TRUE"
"(60,100]","A/Brisbane/2007",0.695652173913043,"TRUE"
"(60,100]","A/California/2004",0.695945945945946,"TRUE"
"(60,100]","A/England/1972",0.59866220735786,"TRUE"
"(60,100]","A/Fujian/2000",0.648829431438127,"TRUE"
"(60,100]","A/Fujian/2002",0.919732441471572,"TRUE"
"(60,100]","A/HongKong/1968",0.779264214046823,"TRUE"
"(60,100]","A/HongKong/2014",0.505016722408027,"TRUE"
"(60,100]","A/Mississippi/1985",0.732441471571906,"TRUE"
"(60,100]","A/Perth/2009",0.57190635451505,"TRUE"
"(60,100]","A/Philippines/1982",0.180602006688963,"TRUE"
"(60,100]","A/Sichuan/1987",0.178451178451178,"TRUE"
"(60,100]","A/Texas/1977",0.317725752508361,"TRUE"
"(60,100]","A/Texas/2012",0.755852842809365,"TRUE"
"(60,100]","A/Victoria/1975",0.301003344481605,"TRUE"
"(60,100]","A/Victoria/1998",0.709030100334448,"TRUE"
"(60,100]","A/Victoria/2009",0.795986622073579,"TRUE"
"(60,100]","A/Wuhan/1995",0.364548494983278,"TRUE"
"[0,10]","A/Bangkok/1979",0,"FALSE"
"[0,10]","A/Beijing/1989",0,"FALSE"
"[0,10]","A/Beijing/1992",0,"FALSE"
"[0,10]","A/Brisbane/2007",0.857142857142857,"TRUE"
"[0,10]","A/California/2004",0.714285714285714,"FALSE"
"[0,10]","A/England/1972",0,"FALSE"
"[0,10]","A/Fujian/2000",0.285714285714286,"FALSE"
"[0,10]","A/Fujian/2002",0.571428571428571,"FALSE"
"[0,10]","A/HongKong/1968",0,"FALSE"
"[0,10]","A/HongKong/2014",0.857142857142857,"TRUE"
"[0,10]","A/Mississippi/1985",0,"FALSE"
"[0,10]","A/Perth/2009",0.857142857142857,"TRUE"
"[0,10]","A/Philippines/1982",0,"FALSE"
"[0,10]","A/Sichuan/1987",0,"FALSE"
"[0,10]","A/Texas/1977",0,"FALSE"
"[0,10]","A/Texas/2012",0.857142857142857,"TRUE"
"[0,10]","A/Victoria/1975",0,"FALSE"
"[0,10]","A/Victoria/1998",0.142857142857143,"FALSE"
"[0,10]","A/Victoria/2009",0.857142857142857,"TRUE"
"[0,10]","A/Wuhan/1995",0,"FALSE"
