Date,Lower 95% CrI,Lower 50% CrI,Posterior median,Upper 50% CrI,Upper 95% CrI,N alive
1987.75,0,0.006,0.013,0.023,0.052,1000
1988,0,0.003992016,0.010978044,0.021956088,0.052919162,1002
1988.25,0.000994036,0.009940358,0.019383698,0.034045726,0.068588469,1006
1988.5,0.014807502,0.038252715,0.055281343,0.076999013,0.126382034,1013
1988.75,0.024582104,0.056047198,0.078662734,0.106440511,0.166199607,1017
1989,0.047012733,0.092066601,0.121449559,0.152791381,0.214520078,1021
1989.25,0.006829268,0.025365854,0.04195122,0.059512195,0.114146341,1025
1989.5,0.004840271,0.027105518,0.043562439,0.063891578,0.104574056,1033
1989.75,0.003857281,0.021215043,0.035679846,0.055207329,0.092574735,1037
1990,0,0.009615385,0.020192308,0.033653846,0.069254808,1040
1990.25,0,0.004803074,0.012487992,0.023054755,0.050936599,1041
1990.5,0,0.003838772,0.010556622,0.019193858,0.046113244,1042
1990.75,0,0.002876318,0.007670182,0.016299137,0.043144775,1043
1991,0,0.003820439,0.008595989,0.017191977,0.042048711,1047
1991.25,0,0.003805899,0.009514748,0.019029496,0.050451951,1051
1991.5,0,0.004752852,0.011406844,0.022813688,0.058935361,1052
1991.75,0.000925926,0.009496676,0.022792023,0.046533713,0.115004748,1053
1992,0.112879507,0.216318786,0.264231499,0.30455408,0.372912713,1054
1992.25,0.0028463,0.035104364,0.065464896,0.10626186,0.201233397,1054
1992.5,0.001895735,0.016113744,0.036492891,0.071090047,0.151824645,1055
1992.75,0.000922422,0.009460738,0.021759697,0.042573321,0.109768212,1057
1993,0,0.007554297,0.018885741,0.036827195,0.091643059,1059
1993.25,0,0.007540057,0.018850141,0.036757776,0.089538172,1061
1993.5,0.022490619,0.056285178,0.081613508,0.11163227,0.188555347,1066
1993.75,0.031782039,0.067352666,0.092609916,0.120673527,0.182413471,1069
1994,0.019626168,0.056074766,0.081308411,0.111214953,0.179439252,1070
1994.25,0.004664179,0.032649254,0.056902985,0.086753731,0.156716418,1072
1994.5,0.005586592,0.033519553,0.05679702,0.088454376,0.159264432,1074
1994.75,0.000930233,0.013023256,0.029767442,0.050465116,0.108837209,1075
1995,0,0.007209302,0.017674419,0.034418605,0.080976744,1075
1995.25,0,0.006511628,0.015813953,0.030697674,0.076302326,1075
1995.5,0.002777778,0.019444444,0.039814815,0.060185185,0.119467593,1080
1995.75,0.000925069,0.01480111,0.028677151,0.049953747,0.112858464,1081
1996,0.001848429,0.015711645,0.034195933,0.061922366,0.121095194,1082
1996.25,0.004616805,0.02677747,0.048014774,0.077562327,0.15699446,1083
1996.5,0.031307551,0.079189687,0.120165746,0.162983425,0.285474217,1086
1996.75,0.014696412,0.067157314,0.109475621,0.163063477,0.277920883,1087
1997,0.003650138,0.025711662,0.055096419,0.101928375,0.206657484,1089
1997.25,0.00091659,0.010769936,0.025664528,0.053162236,0.139344638,1091
1997.5,0,0.008241758,0.019688645,0.04029304,0.110828755,1092
1997.75,0.001826484,0.016438356,0.033789954,0.063926941,0.169931507,1095
1998,0,0.007305936,0.017351598,0.032876712,0.080365297,1095
1998.25,0.001824818,0.016423358,0.030109489,0.052007299,0.119548358,1096
1998.5,0.003646308,0.022789426,0.044667274,0.068368277,0.144940747,1097
1998.75,0.012750455,0.040983607,0.06557377,0.099271403,0.192190346,1098
1999,0.004545455,0.04,0.065454545,0.101818182,0.195454545,1100
1999.25,0.000909091,0.016363636,0.038181818,0.071818182,0.181818182,1100
1999.5,0,0.009090909,0.023636364,0.042727273,0.110022727,1100
1999.75,0.001811594,0.018115942,0.038949275,0.074275362,0.158514493,1104
2000,0.004520796,0.038878843,0.069620253,0.104882459,0.19534358,1106
2000.25,0.005397471,0.039521229,0.066847335,0.100496838,0.182475158,1107
2000.5,0.001806685,0.023486902,0.046070461,0.071364047,0.130081301,1107
2000.75,0.002707581,0.023465704,0.044223827,0.070397112,0.126444043,1108
2001,0.00270514,0.028629396,0.052299369,0.079576195,0.144341749,1109
2001.25,0.01350135,0.03870387,0.058505851,0.081008101,0.138636364,1111
2001.5,0.017985612,0.048561151,0.070143885,0.094649281,0.147482014,1112
2001.75,0.019761691,0.051258993,0.074640288,0.099820144,0.15290018,1112
2002,0.028754496,0.075539568,0.102068345,0.134892086,0.194267086,1112
2002.25,0.012544883,0.035906643,0.053859964,0.077199282,0.124775583,1114
2002.5,0.01073991,0.028699552,0.043049327,0.058295964,0.09955157,1115
2002.75,0.008064516,0.025089606,0.039426523,0.058243728,0.095900538,1116
2003,0.003577818,0.020572451,0.03667263,0.056350626,0.10559034,1118
2003.25,0.000894454,0.010733453,0.024150268,0.043828265,0.106440072,1118
2003.5,0,0.009615385,0.02236136,0.04293381,0.121668157,1118
2003.75,0.005357143,0.037276786,0.070982143,0.119866071,0.277678571,1120
2004,0.030330062,0.225468332,0.291703836,0.347903657,0.424620874,1121
2004.25,0,0.006244425,0.019625335,0.045495094,0.220405888,1121
2004.5,0,0.005342832,0.016918967,0.032947462,0.108637578,1123
2004.75,0,0.005342832,0.014247551,0.029385574,0.084639359,1123
2005,0,0.005342832,0.012466607,0.02760463,0.06769813,1123
2005.25,0,0.005338078,0.013345196,0.025800712,0.072953737,1124
2005.5,0,0.004448399,0.012455516,0.025800712,0.066725979,1124
2005.75,0,0.005338078,0.013345196,0.026690391,0.068505338,1124
2006,0,0.006222222,0.014222222,0.028444444,0.072,1125
2006.25,0,0.008,0.018666667,0.036666667,0.088933333,1125
2006.5,0.000888099,0.013321492,0.030195382,0.054396092,0.128774423,1126
2006.75,0.003549246,0.031055901,0.062999113,0.096716948,0.173913043,1127
2007,0.046919326,0.103501773,0.137411348,0.17464539,0.242929965,1128
2007.25,0.000886525,0.015957447,0.031914894,0.052304965,0.111724291,1128
2007.5,0,0.007092199,0.016843972,0.030141844,0.071852837,1128
2007.75,0,0.005319149,0.011524823,0.023049645,0.051440603,1128
2008,0,0.003542958,0.009743136,0.019486271,0.050487157,1129
2008.25,0,0.005314438,0.012400354,0.02214349,0.057595217,1129
2008.5,0.000884956,0.008849558,0.019469027,0.036283186,0.076106195,1130
2008.75,0.007079646,0.031858407,0.053097345,0.073672566,0.121238938,1130
2009,0.053097345,0.086725664,0.105309735,0.125663717,0.159314159,1130
2009.25,0.053097345,0.084955752,0.100884956,0.117699115,0.150442478,1130
2009.5,0.071681416,0.098230088,0.111061947,0.126548673,0.156659292,1130
2009.75,0.026548673,0.046902655,0.05840708,0.071681416,0.092942478,1130
2010,0.026548673,0.048672566,0.061061947,0.073451327,0.094690265,1130
2010.25,0.049557522,0.068141593,0.077876106,0.087610619,0.108849558,1130
2010.5,0.044247788,0.062831858,0.072566372,0.083185841,0.101769912,1130
2010.75,0.053982301,0.07699115,0.088495575,0.101769912,0.124800885,1130
2011,0.116814159,0.139823009,0.153097345,0.169026549,0.194690265,1130
2011.25,0.088495575,0.113274336,0.127433628,0.140707965,0.167256637,1130
2011.5,0.038086802,0.060008857,0.072630647,0.085252436,0.115146147,1129
2011.75,0.063257576,0.086452763,0.098930481,0.1114082,0.133712121,1122
2012,0.020590868,0.037600716,0.048343778,0.05908684,0.082385855,1117
2012.25,0.055956679,0.081227437,0.094765343,0.108303249,0.133574007,1108
2012.5,0.043276173,0.062274368,0.07400722,0.087545126,0.115523466,1108
2012.75,0.009002708,0.026173285,0.03700361,0.048736462,0.072202166,1108
2013,0.009927798,0.025270758,0.034296029,0.045126354,0.067689531,1108
2013.25,0.010082493,0.024747938,0.034830431,0.045829514,0.06507791,1091
2013.5,0.012939002,0.027726433,0.036044362,0.046210721,0.067467652,1082
2013.75,0.0716946,0.096834264,0.112662942,0.127560521,0.15551676,1074
2014,0.105860113,0.138705104,0.154064272,0.171077505,0.20418242,1058
2014.25,0.175969726,0.203405866,0.218543046,0.234626301,0.265870388,1057
2014.5,0.070707071,0.092929293,0.104040404,0.116161616,0.142449495,990
2014.75,0.169628433,0.198707593,0.214862682,0.232633279,0.261712439,619
2015,0.1,0.131428571,0.151428571,0.168571429,0.205714286,350
2015.25,0.035087719,0.064327485,0.076023392,0.093567251,0.122807018,171
