"Age group","Virus","Proportion seropositive (>= 1:40)","alive"
"(50,60]","A/HongKong/2014",0.08,"TRUE"
"(50,60]","A/Mississippi/1985",0.596363636363636,"TRUE"
"(50,60]","A/Perth/2009",0.123636363636364,"TRUE"
"(50,60]","A/Philippines/1982",0.0654545454545455,"TRUE"
"(50,60]","A/Sichuan/1987",0.0291970802919708,"TRUE"
"(50,60]","A/Texas/1977",0.149090909090909,"TRUE"
"(50,60]","A/Texas/2012",0.210909090909091,"TRUE"
"(50,60]","A/Victoria/1975",0.196363636363636,"TRUE"
"(50,60]","A/Victoria/1998",0.363636363636364,"TRUE"
"(50,60]","A/Victoria/2009",0.309090909090909,"TRUE"
"(50,60]","A/Wuhan/1995",0.0872727272727273,"TRUE"
"(60,100]","A/Bangkok/1979",0.0335570469798658,"TRUE"
"(60,100]","A/Beijing/1989",0.0468227424749164,"TRUE"
"(60,100]","A/Beijing/1992",0.525083612040134,"TRUE"
"(60,100]","A/Brisbane/2007",0.254180602006689,"TRUE"
"(60,100]","A/California/2004",0.368243243243243,"TRUE"
"(60,100]","A/England/1972",0.444816053511706,"TRUE"
"(60,100]","A/Fujian/2000",0.418060200668896,"TRUE"
"(60,100]","A/Fujian/2002",0.77257525083612,"TRUE"
"(60,100]","A/HongKong/1968",0.565217391304348,"TRUE"
"(60,100]","A/HongKong/2014",0.153846153846154,"TRUE"
"(60,100]","A/Mississippi/1985",0.642140468227425,"TRUE"
"(60,100]","A/Perth/2009",0.137123745819398,"TRUE"
"(60,100]","A/Philippines/1982",0.096989966555184,"TRUE"
"(60,100]","A/Sichuan/1987",0.0774410774410774,"TRUE"
"(60,100]","A/Texas/1977",0.183946488294314,"TRUE"
"(60,100]","A/Texas/2012",0.254180602006689,"TRUE"
"(60,100]","A/Victoria/1975",0.204013377926421,"TRUE"
"(60,100]","A/Victoria/1998",0.464882943143813,"TRUE"
"(60,100]","A/Victoria/2009",0.304347826086957,"TRUE"
"(60,100]","A/Wuhan/1995",0.20066889632107,"TRUE"
"[0,10]","A/Bangkok/1979",0,"FALSE"
"[0,10]","A/Beijing/1989",0,"FALSE"
"[0,10]","A/Beijing/1992",0.142857142857143,"FALSE"
"[0,10]","A/Brisbane/2007",0.571428571428571,"TRUE"
"[0,10]","A/California/2004",0.571428571428571,"FALSE"
"[0,10]","A/England/1972",0,"FALSE"
"[0,10]","A/Fujian/2000",0,"FALSE"
"[0,10]","A/Fujian/2002",0.428571428571429,"FALSE"
"[0,10]","A/HongKong/1968",0.142857142857143,"FALSE"
"[0,10]","A/HongKong/2014",0.428571428571429,"TRUE"
"[0,10]","A/Mississippi/1985",0.142857142857143,"FALSE"
"[0,10]","A/Perth/2009",0.428571428571429,"TRUE"
"[0,10]","A/Philippines/1982",0,"FALSE"
"[0,10]","A/Sichuan/1987",0,"FALSE"
"[0,10]","A/Texas/1977",0,"FALSE"
"[0,10]","A/Texas/2012",0.571428571428571,"TRUE"
"[0,10]","A/Victoria/1975",0,"FALSE"
"[0,10]","A/Victoria/1998",0,"FALSE"
"[0,10]","A/Victoria/2009",0.714285714285714,"TRUE"
"[0,10]","A/Wuhan/1995",0,"FALSE"
