"x_coord","y_coord","inf_times"
-29.9820956875924,-3.25663292793537,7872
-29.9820956875924,-3.25663292793537,7873
-29.9820956875924,-3.25663292793537,7874
-29.9820956875924,-3.25663292793537,7875
-29.9820956875924,-3.25663292793537,7876
-29.9820956875924,-3.25663292793537,7877
-29.9820956875924,-3.25663292793537,7878
-29.9820956875924,-3.25663292793537,7879
-29.9820956875924,-3.25663292793537,7880
-29.9820956875924,-3.25663292793537,7881
-29.9820956875924,-3.25663292793537,7882
-29.9820956875924,-3.25663292793537,7883
-29.9820956875924,-3.25663292793537,7884
-29.9820956875924,-3.25663292793537,7885
-29.9820956875924,-3.25663292793537,7886
-29.9820956875924,-3.25663292793537,7887
-25.7828787321318,-0.655761049684228,7888
-25.7828787321318,-0.655761049684228,7889
-25.7828787321318,-0.655761049684228,7890
-25.7828787321318,-0.655761049684228,7891
-25.7828787321318,-0.655761049684228,7892
-25.7828787321318,-0.655761049684228,7893
-25.7828787321318,-0.655761049684228,7894
-25.7828787321318,-0.655761049684228,7895
-23.6832702544016,0.511131384909956,7896
-23.6832702544016,0.511131384909956,7897
-23.6832702544016,0.511131384909956,7898
-23.6832702544016,0.511131384909956,7899
-23.6832702544016,0.511131384909956,7900
-23.6832702544016,0.511131384909956,7901
-23.6832702544016,0.511131384909956,7902
-23.6832702544016,0.511131384909956,7903
-23.6832702544016,0.511131384909956,7904
-23.6832702544016,0.511131384909956,7905
-23.6832702544016,0.511131384909956,7906
-23.6832702544016,0.511131384909956,7907
-20.5338575378064,-0.787087174923604,7908
-20.5338575378064,-0.787087174923604,7909
-20.5338575378064,-0.787087174923604,7910
-20.5338575378064,-0.787087174923604,7911
-19.484053298941,-1.37722052203508,7912
-19.484053298941,-1.37722052203508,7913
-19.484053298941,-1.37722052203508,7914
-19.484053298941,-1.37722052203508,7915
-19.484053298941,-1.37722052203508,7916
-19.484053298941,-1.37722052203508,7917
-19.484053298941,-1.37722052203508,7918
-19.484053298941,-1.37722052203508,7919
-19.484053298941,-1.37722052203508,7920
-19.484053298941,-1.37722052203508,7921
-19.484053298941,-1.37722052203508,7922
-19.484053298941,-1.37722052203508,7923
-19.484053298941,-1.37722052203508,7924
-19.484053298941,-1.37722052203508,7925
-19.484053298941,-1.37722052203508,7926
-19.484053298941,-1.37722052203508,7927
-19.484053298941,-1.37722052203508,7928
-19.484053298941,-1.37722052203508,7929
-19.484053298941,-1.37722052203508,7930
-19.484053298941,-1.37722052203508,7931
-19.484053298941,-1.37722052203508,7932
-19.484053298941,-1.37722052203508,7933
-19.484053298941,-1.37722052203508,7934
-19.484053298941,-1.37722052203508,7935
-13.1852278657507,0.154562526676924,7936
-13.1852278657507,0.154562526676924,7937
-13.1852278657507,0.154562526676924,7938
-13.1852278657507,0.154562526676924,7939
-13.1852278657507,0.154562526676924,7940
-13.1852278657507,0.154562526676924,7941
-13.1852278657507,0.154562526676924,7942
-13.1852278657507,0.154562526676924,7943
-13.1852278657507,0.154562526676924,7944
-13.1852278657507,0.154562526676924,7945
-13.1852278657507,0.154562526676924,7946
-13.1852278657507,0.154562526676924,7947
-10.0358151491555,-0.563743302805775,7948
-10.0358151491555,-0.563743302805775,7949
-10.0358151491555,-0.563743302805775,7950
-10.0358151491555,-0.563743302805775,7951
-10.0358151491555,-0.563743302805775,7952
-10.0358151491555,-0.563743302805775,7953
-10.0358151491555,-0.563743302805775,7954
-10.0358151491555,-0.563743302805775,7955
-10.0358151491555,-0.563743302805775,7956
-10.0358151491555,-0.563743302805775,7957
-10.0358151491555,-0.563743302805775,7958
-10.0358151491555,-0.563743302805775,7959
-6.88640243255986,0.919353369084513,7960
-6.88640243255986,0.919353369084513,7961
-6.88640243255986,0.919353369084513,7962
-6.88640243255986,0.919353369084513,7963
-10.0358151491555,-0.563743302805775,7964
-10.0358151491555,-0.563743302805775,7965
-10.0358151491555,-0.563743302805775,7966
-10.0358151491555,-0.563743302805775,7967
-4.78679395482959,-1.98133977677657,7968
-4.78679395482959,-1.98133977677657,7969
-4.78679395482959,-1.98133977677657,7970
-4.78679395482959,-1.98133977677657,7971
-4.78679395482959,-1.98133977677657,7972
-4.78679395482959,-1.98133977677657,7973
-4.78679395482959,-1.98133977677657,7974
-4.78679395482959,-1.98133977677657,7975
-4.78679395482959,-1.98133977677657,7976
-4.78679395482959,-1.98133977677657,7977
