"x_coord","y_coord","inf_times"
-29.9820956875924,-3.25663292793537,7872
-29.7196446278758,-3.0779849657148,7873
-29.4571935681597,-2.89933700349453,7874
-29.1947425084431,-2.72068904127395,7875
-28.932291448727,-2.54204107905369,7876
-28.6698403890109,-2.36339311683342,7877
-28.4073893292943,-2.1852144673828,7878
-28.1449382695782,-2.01021238280455,7879
-27.8824872098621,-1.84092157500339,7880
-27.6200361501456,-1.6797954372031,7881
-27.3575850904294,-1.52897448505314,7882
-27.0951340307133,-1.38730195820142,7883
-26.8326829709968,-1.25163574419191,7884
-26.5702319112806,-1.11647975557448,7885
-26.3077808515645,-0.972151585138986,7886
-26.045329791848,-0.817520349965415,7887
-25.7828787321318,-0.655761049684228,7888
-25.5204276724153,-0.490071947204261,7889
-25.2579766126992,-0.323651305435475,7890
-24.9955255529831,-0.159697387286969,7891
-24.7330744932665,-0.00140845566785818,7892
-24.4706234335504,0.148017226511921,7893
-24.2081723738343,0.285381396343265,7894
-23.9457213141177,0.407485790916988,7895
-23.6832702544016,0.511131384909956,7896
-23.4208191946855,0.591194046541773,7897
-23.1583681349689,0.636588114377617,7898
-22.8959170752528,0.638524330017599,7899
-22.6334660155367,0.592450447132503,7900
-22.3710149558201,0.502352555567471,7901
-22.108563896104,0.374971853743164,7902
-21.8461128363879,0.217049781130546,7903
-21.5836617766713,0.0353277772003774,7904
-21.3212107169552,-0.163452718575617,7905
-21.0587596572386,-0.372414505255713,7906
-20.7963085975225,-0.583308021144725,7907
-20.5338575378064,-0.787087174923604,7908
-20.2714064780898,-0.974872422659326,7909
-20.0089554183737,-1.13969135500223,7910
-19.7465043586576,-1.27573735342901,7911
-19.484053298941,-1.37722052203508,7912
-19.2216022392249,-1.43835096491535,7913
-18.9591511795088,-1.45354325598768,7914
-18.6967001197922,-1.42438499188906,7915
-18.4342490600761,-1.35805887183004,7916
-18.17179800036,-1.2605753005495,7917
-17.9093469406434,-1.13793959580256,7918
-17.6468958809273,-0.996157075344991,7919
-17.3844448212108,-0.84123305693168,7920
-17.1219937614947,-0.679172858318522,7921
-16.8595427017785,-0.515981797260606,7922
-16.597091642062,-0.357550719698032,7923
-16.3346405823459,-0.207985776067587,7924
-16.0721895226297,-0.0699815498483448,7925
-15.8097384629132,0.0538059322912522,7926
-15.5472874031971,0.160720643682126,7927
-15.2848363434809,0.248106557655863,7928
-15.0223852837644,0.313456579442356,7929
-14.7599342240483,0.354887051591095,7930
-14.4974831643322,0.370677422621692,7931
-14.2350321046156,0.359696791061769,7932
-13.9725810448995,0.326687960069099,7933
-13.7101299851834,0.27801528966415,7934
-13.4476789254668,0.218943058627429,7935
-13.1852278657507,0.154562526676924,7936
-12.9227768060341,0.0862059140900714,7937
-12.660325746318,0.011378770944982,7938
-12.3978746866019,-0.0722191094948485,7939
-12.1354236268853,-0.162816933778955,7940
-11.8729725671692,-0.256102207608578,7941
-11.6105215074531,-0.347723724910241,7942
-11.3480704477365,-0.433330279610456,7943
-11.0856193880204,-0.508570665635291,7944
-10.8231683283043,-0.569093676911271,7945
-10.5607172685877,-0.608454609500067,7946
-10.2982662088716,-0.610696820370198,7947
-10.0358151491555,-0.563743302805775,7948
-9.77336408943893,-0.458002958169249,7949
-9.51091302972281,-0.285972110993561,7950
-9.24846197000625,-0.0480375941292477,7951
-8.98601091029013,0.24115821955756,7952
-8.72355985057402,0.557678145606295,7953
-8.46110879085745,0.863297210401937,7954
-8.19865773114134,1.11326981400708,7955
-7.93620667142523,1.27727563128466,7956
-7.67375561170866,1.34058336258252,7957
-7.41130455199254,1.29835326001816,7958
-7.14885349227643,1.15446609021036,7959
-6.88640243255986,0.919353369084513,7960
-6.62395137284375,0.61141563790186,7961
-6.36150031312764,0.249883516089603,7962
-6.09904925341107,-0.14611158351365,7963
-5.83659819369495,-0.557438248067182,7964
-5.57414713397884,-0.964965064732341,7965
-5.31169607426227,-1.34956062067045,7966
-5.04924501454616,-1.69261969694449,7967
-4.78679395482959,-1.98133977677657,7968
-4.52434289511348,-2.20661611183204,7969
-4.26189183539736,-2.36389675442939,7970
-3.9994407756808,-2.45490407565051,7971
-3.73698971596468,-2.48182621870605,7972
-3.47453865624857,-2.44780340155112,7973
-3.212087596532,-2.35914129104441,7974
-2.94963653681589,-2.22413253535318,7975
-2.68718547709977,-2.05293481566101,7976
-2.42473441738321,-1.85609302466104,7977
-2.16228335766709,-1.64500531411633,7978
-1.89983229795098,-1.4276822580355,7979
-1.63738123823441,-1.20094858455344,7980
-1.3749301785183,-0.964834824186602,7981
-1.11247911880173,-0.729516365940248,7982
-0.850028059085616,-0.500630898769122,7983
-0.587576999369503,-0.281610224174262,7984
-0.325125939652935,-0.0726664038609052,7985
-0.0626748799368215,0.126391995275667,7986
0.199776179779292,0.315299501787532,7987
0.46222723949586,0.492149126027217,7988
0.724678299211973,0.654748662688389,7989
0.987129358928087,0.800905906465639,7990
1.24958041864465,0.928428652053454,7991
1.51203147836077,1.03512469414567,7992
1.77448253807688,1.1188018274368,7993
2.03693359779345,1.17728785388584,7994
2.29938465750956,1.20949168511905,7995
2.56183571722568,1.21593272033851,7996
2.82428677694224,1.19726154201131,7997
3.08673783665836,1.15432803439009,7998
3.34918889637493,1.09153840923995,7999
3.61163995609104,1.01396106696954,8000
3.87409101580715,0.922913089889775,8001
4.13654207552372,0.819342719440926,8002
4.39899313523983,0.708109340686235,8003
4.66144419495595,0.596069011460177,8004
4.92389525467252,0.489408127449288,8005
5.18634631438863,0.392486601146254,8006
5.44879737410474,0.308689868195213,8007
5.71124843382131,0.240494229807976,8008
5.97369949353742,0.191250400488617,8009
6.23615055325354,0.162011539034356,8010
6.49860161297011,0.150707679500785,8011
6.76105267268622,0.151306884377353,8012
7.02350373240279,0.156332902421948,8013
7.2859547921189,0.159441447745967,8014
7.54840585183501,0.154725772419131,8015
7.81085691155158,0.137494185630337,8016
8.0733079712677,0.109511593466967,8017
8.33575903098381,0.0751079829439291,8018
8.59821009070038,0.0377304236766216,8019
8.86066115041649,0.00386003152308968,8020
9.1231122101326,-0.0188979762740929,8021
9.38556326984917,-0.0230536629059364,8022
9.64801432956529,-0.00464470866766975,8023
9.9104653892814,0.0346429622164271,8024
10.172916448998,0.0883389733747864,8025
10.4353675087141,0.145707743512033,8026
10.6978185684302,0.198098184623064,8027
10.9602696281468,0.240281226904363,8028
11.2227206878629,0.2710091232654,8029
11.4851717475794,0.287359600896864,8030
11.7476228072956,0.286540745574918,8031
12.0100738670117,0.266379098873504,8032
12.2725249267282,0.225348179219884,8033
12.5349759864444,0.164688373780896,8034
12.7974270461605,0.0883378415772657,8035
13.059878105877,0.0034734664089249,8036
13.3223291655931,-0.0765286872355019,8037
13.5847802253093,-0.137566041632581,8038
13.8472312850258,-0.166052020526806,8039
14.1096823447419,-0.151363061546271,8040
14.3721334044581,-0.0966528761247645,8041
14.6345844641746,-0.011121418271791,8042
14.8970355238907,0.0925604814477561,8043
15.1594865836068,0.199890282738632,8044
15.4219376433234,0.304143998288155,8045
15.6843887030395,0.406584703065389,8046
15.9468397627561,0.508014794184788,8047
16.2092908224722,0.608338450685632,8048
16.4717418821883,0.709511543903148,8049
16.7341929419049,0.813101899417301,8050
16.996644001621,0.920564705828516,8051
17.2590950613371,1.0320866913102,8052
17.5215461210537,1.14844613787514,8053
17.7839971807698,1.2694785776721,8054
18.0464482404859,1.39437140793538,8055
18.3088993002025,1.52176603730912,8056
18.5713503599186,1.65023438176828,8057
18.8338014196347,1.77859071671677,8058
19.0962524793513,1.90690305112147,8059
19.3587035390674,2.03521538552594,8060
19.621154598784,2.16352771993065,8061
19.8836056585001,2.29184005433512,8062
20.1460567182162,2.4201523887396,8063
