"x_coord","y_coord","inf_times"
-28.9953355667217,8.72635513972437,7872
-28.9953355667217,8.72635513972437,7873
-28.9953355667217,8.72635513972437,7874
-28.9953355667217,8.72635513972437,7875
-28.0757497480433,7.7222210173011,7876
-28.0757497480433,7.7222210173011,7877
-28.0757497480433,7.7222210173011,7878
-28.0757497480433,7.7222210173011,7879
-27.156163929365,6.71808689487784,7880
-27.156163929365,6.71808689487784,7881
-27.156163929365,6.71808689487784,7882
-27.156163929365,6.71808689487784,7883
-26.2365781106867,5.71395277245457,7884
-26.2365781106867,5.71395277245457,7885
-26.2365781106867,5.71395277245457,7886
-26.2365781106867,5.71395277245457,7887
-25.3169922920081,4.70981865003106,7888
-25.3169922920081,4.70981865003106,7889
-25.3169922920081,4.70981865003106,7890
-25.3169922920081,4.70981865003106,7891
-24.3974064733297,3.70572687028407,7892
-24.3974064733297,3.70572687028407,7893
-24.3974064733297,3.70572687028407,7894
-24.3974064733297,3.70572687028407,7895
-23.4778206546514,2.73743587026373,7896
-23.4778206546514,2.73743587026373,7897
-23.4778206546514,2.73743587026373,7898
-23.4778206546514,2.73743587026373,7899
-22.5582348359731,1.90675802279326,7900
-22.5582348359731,1.90675802279326,7901
-22.5582348359731,1.90675802279326,7902
-22.5582348359731,1.90675802279326,7903
-21.6386490172947,1.18551073447967,7904
-21.6386490172947,1.18551073447967,7905
-21.6386490172947,1.18551073447967,7906
-21.6386490172947,1.18551073447967,7907
-20.7190631986164,0.505175268721128,7908
-20.7190631986164,0.505175268721128,7909
-20.7190631986164,0.505175268721128,7910
-20.7190631986164,0.505175268721128,7911
-19.799477379938,-0.202768179924718,7912
-19.799477379938,-0.202768179924718,7913
-19.799477379938,-0.202768179924718,7914
-19.799477379938,-0.202768179924718,7915
-18.8798915612597,-1.00683941633325,7916
-18.8798915612597,-1.00683941633325,7917
-18.8798915612597,-1.00683941633325,7918
-18.8798915612597,-1.00683941633325,7919
-17.9603057425813,-1.91108368125441,7920
-17.9603057425813,-1.91108368125441,7921
-17.9603057425813,-1.91108368125441,7922
-17.9603057425813,-1.91108368125441,7923
-17.040719923903,-2.66324326213494,7924
-17.040719923903,-2.66324326213494,7925
-17.040719923903,-2.66324326213494,7926
-17.040719923903,-2.66324326213494,7927
-16.1211341052247,-2.98347025154118,7928
-16.1211341052247,-2.98347025154118,7929
-16.1211341052247,-2.98347025154118,7930
-16.1211341052247,-2.98347025154118,7931
-15.2015482865463,-2.85434010871507,7932
-15.2015482865463,-2.85434010871507,7933
-15.2015482865463,-2.85434010871507,7934
-15.2015482865463,-2.85434010871507,7935
-14.281962467868,-2.37438611111916,7936
-14.281962467868,-2.37438611111916,7937
-14.281962467868,-2.37438611111916,7938
-14.281962467868,-2.37438611111916,7939
-13.3623766491896,-1.64265383758167,7940
-13.3623766491896,-1.64265383758167,7941
-13.3623766491896,-1.64265383758167,7942
-13.3623766491896,-1.64265383758167,7943
-12.4427908305111,-0.758188866930604,7944
