"x_coord","y_coord","inf_times"
-29.9820956875924,-3.25663292793537,7872
-29.9820956875924,-3.25663292793537,7873
-29.9820956875924,-3.25663292793537,7874
-29.9820956875924,-3.25663292793537,7875
-28.932291448727,-2.54204107905369,7876
-28.932291448727,-2.54204107905369,7877
-28.932291448727,-2.54204107905369,7878
-28.932291448727,-2.54204107905369,7879
-27.8824872098621,-1.84092157500339,7880
-27.8824872098621,-1.84092157500339,7881
-27.8824872098621,-1.84092157500339,7882
-27.8824872098621,-1.84092157500339,7883
-26.8326829709968,-1.25163574419191,7884
-26.8326829709968,-1.25163574419191,7885
-26.8326829709968,-1.25163574419191,7886
-26.8326829709968,-1.25163574419191,7887
-25.7828787321318,-0.655761049684228,7888
-25.7828787321318,-0.655761049684228,7889
-25.7828787321318,-0.655761049684228,7890
-25.7828787321318,-0.655761049684228,7891
-24.7330744932665,-0.00140845566785818,7892
-24.7330744932665,-0.00140845566785818,7893
-24.7330744932665,-0.00140845566785818,7894
-24.7330744932665,-0.00140845566785818,7895
-23.6832702544016,0.511131384909956,7896
-23.6832702544016,0.511131384909956,7897
-23.6832702544016,0.511131384909956,7898
-23.6832702544016,0.511131384909956,7899
-22.6334660155367,0.592450447132503,7900
-22.6334660155367,0.592450447132503,7901
-22.6334660155367,0.592450447132503,7902
-22.6334660155367,0.592450447132503,7903
-21.5836617766713,0.0353277772003774,7904
-21.5836617766713,0.0353277772003774,7905
-21.5836617766713,0.0353277772003774,7906
-21.5836617766713,0.0353277772003774,7907
-20.5338575378064,-0.787087174923604,7908
-20.5338575378064,-0.787087174923604,7909
-20.5338575378064,-0.787087174923604,7910
-20.5338575378064,-0.787087174923604,7911
-19.484053298941,-1.37722052203508,7912
-19.484053298941,-1.37722052203508,7913
-19.484053298941,-1.37722052203508,7914
-19.484053298941,-1.37722052203508,7915
-18.4342490600761,-1.35805887183004,7916
-18.4342490600761,-1.35805887183004,7917
-18.4342490600761,-1.35805887183004,7918
-18.4342490600761,-1.35805887183004,7919
-17.3844448212108,-0.84123305693168,7920
-17.3844448212108,-0.84123305693168,7921
-17.3844448212108,-0.84123305693168,7922
-17.3844448212108,-0.84123305693168,7923
-16.3346405823459,-0.207985776067587,7924
-16.3346405823459,-0.207985776067587,7925
-16.3346405823459,-0.207985776067587,7926
-16.3346405823459,-0.207985776067587,7927
-15.2848363434809,0.248106557655863,7928
-15.2848363434809,0.248106557655863,7929
-15.2848363434809,0.248106557655863,7930
-15.2848363434809,0.248106557655863,7931
-14.2350321046156,0.359696791061769,7932
-14.2350321046156,0.359696791061769,7933
-14.2350321046156,0.359696791061769,7934
-14.2350321046156,0.359696791061769,7935
-13.1852278657507,0.154562526676924,7936
-13.1852278657507,0.154562526676924,7937
-13.1852278657507,0.154562526676924,7938
-13.1852278657507,0.154562526676924,7939
-12.1354236268853,-0.162816933778955,7940
-12.1354236268853,-0.162816933778955,7941
-12.1354236268853,-0.162816933778955,7942
-12.1354236268853,-0.162816933778955,7943
-11.0856193880204,-0.508570665635291,7944
-11.0856193880204,-0.508570665635291,7945
-11.0856193880204,-0.508570665635291,7946
-11.0856193880204,-0.508570665635291,7947
-10.0358151491555,-0.563743302805775,7948
-10.0358151491555,-0.563743302805775,7949
-10.0358151491555,-0.563743302805775,7950
-10.0358151491555,-0.563743302805775,7951
-8.98601091029013,0.24115821955756,7952
-8.98601091029013,0.24115821955756,7953
-8.98601091029013,0.24115821955756,7954
-8.98601091029013,0.24115821955756,7955
-7.93620667142523,1.27727563128466,7956
-7.93620667142523,1.27727563128466,7957
-7.93620667142523,1.27727563128466,7958
-7.93620667142523,1.27727563128466,7959
-6.88640243255986,0.919353369084513,7960
-6.88640243255986,0.919353369084513,7961
-6.88640243255986,0.919353369084513,7962
-6.88640243255986,0.919353369084513,7963
-5.83659819369495,-0.557438248067182,7964
-5.83659819369495,-0.557438248067182,7965
-5.83659819369495,-0.557438248067182,7966
-5.83659819369495,-0.557438248067182,7967
-4.78679395482959,-1.98133977677657,7968
-4.78679395482959,-1.98133977677657,7969
-4.78679395482959,-1.98133977677657,7970
-4.78679395482959,-1.98133977677657,7971
-3.73698971596468,-2.48182621870605,7972
-3.73698971596468,-2.48182621870605,7973
-3.73698971596468,-2.48182621870605,7974
-3.73698971596468,-2.48182621870605,7975
-2.68718547709977,-2.05293481566101,7976
